年份,广东省集成电路产量(亿块),广东省产量增速(%),全国集成电路产量(亿块),广东占全国比重(%),广东产业营收(亿元),数据来源
2019,362.5,,2018.2,18.0,1200,中商产业研究院
2020,427.3,17.9,2612.6,16.4,1700,中商产业研究院
2021,561.2,31.3,3594.3,15.6,2100,中商产业研究院
2022,516.8,-7.9,3241.9,15.9,2300,广东省统计局
2023,664.5,28.6,3514.0,18.9,2700,广东省统计局/行业报告
2024,804.0,21.0,4514.0,17.8,3200,广东省统计局/深芯盟报告
2025,,,,,4000,省政府行动计划目标
